<Aaron_Olmsted>	diedIn	<Clapham_Common>	0	0
<Aaron_Olmsted>	diedIn	<East_Hartford,_Connecticut>	0	1
<Aaron_Olmsted>	diedIn	<Oak_Ridge,_Louisiana>	0	0
<Aaron_Olmsted>	diedIn	<Washington,_Arkansas>	0	0
<Abner_Wimberly>	diedIn	<Camberwell,_Victoria>	0	0
<Abner_Wimberly>	diedIn	<Ellsworth,_Maine>	0	0
<Abner_Wimberly>	diedIn	<Oak_Ridge,_Louisiana>	0	1
<Abner_Wimberly>	diedIn	<Thrissur>	0	0
<Agnes_Newton_Keith>	diedIn	<Grosse_Pointe>	0	0
<Agnes_Newton_Keith>	diedIn	<Natick,_Massachusetts>	0	0
<Agnes_Newton_Keith>	diedIn	<Oak_Bay,_British_Columbia>	1	1
<Agnes_Newton_Keith>	diedIn	<Riverdale,_Bronx>	0	0
<Alexander_Tormasov>	diedIn	<Brampton>	0	0
<Alexander_Tormasov>	diedIn	<Garapan>	0	0
<Alexander_Tormasov>	diedIn	<Liberty_Farm>	0	0
<Alexander_Tormasov>	diedIn	<Moscow_Governorate>	0	1
<Alexander_William_Doniphan>	diedIn	<Camberwell,_Victoria>	0	0
<Alexander_William_Doniphan>	diedIn	<Killiney>	0	0
<Alexander_William_Doniphan>	diedIn	<Oak_Bay,_British_Columbia>	0	0
<Alexander_William_Doniphan>	diedIn	<Richmond,_Missouri>	1	1
<Alfred_Gilpin_Jones>	diedIn	<Ellsworth,_Maine>	0	0
<Alfred_Gilpin_Jones>	diedIn	<Halifax_(electoral_district)>	0	1
<Alfred_Gilpin_Jones>	diedIn	<University_College_Hospital>	0	0
<Alfred_Gilpin_Jones>	diedIn	<Wisborough_Green>	0	0
<Alfred_William_Howitt>	diedIn	<Bairnsdale>	1	1
<Alfred_William_Howitt>	diedIn	<Bradford_West_Gwillimbury>	0	0
<Alfred_William_Howitt>	diedIn	<Lisbon>	0	0
<Alfred_William_Howitt>	diedIn	<Oak_Bay,_British_Columbia>	0	0
<Alvan_Fisher>	diedIn	<Dedham,_Massachusetts>	1	1
<Alvan_Fisher>	diedIn	<Twickenham>	0	0
<Alvan_Fisher>	diedIn	<Union_Township,_Fayette_County,_Ohio>	0	0
<Alvan_Fisher>	diedIn	<University_College_Hospital>	0	0
<Amelia_Elizabeth_Walden_Award>	diedIn	<Carlisle,_Pennsylvania>	0	0
<Amelia_Elizabeth_Walden_Award>	diedIn	<Kittery_Point,_Maine>	0	0
<Amelia_Elizabeth_Walden_Award>	diedIn	<Secaucus,_New_Jersey>	0	0
<Amelia_Elizabeth_Walden_Award>	diedIn	<Westport,_Connecticut>	2	1
<Art_Murakowski>	diedIn	<Fitzroy,_Victoria>	0	0
<Art_Murakowski>	diedIn	<Hammond,_Indiana>	1	1
<Art_Murakowski>	diedIn	<Jena,_Louisiana>	0	0
<Art_Murakowski>	diedIn	<Larchmont,_New_York>	0	0
<Arthur_Clarey>	diedIn	<Fitzroy,_Victoria>	0	1
<Arthur_Clarey>	diedIn	<Glen_Cove,_New_York>	0	0
<Arthur_Clarey>	diedIn	<Pangbourne>	0	0
<Arthur_Clarey>	diedIn	<Stephenville,_Texas>	0	0
<Arthur_Jewitt>	diedIn	<Hamden,_Connecticut>	0	0
<Arthur_Jewitt>	diedIn	<Headington>	1	1
<Arthur_Jewitt>	diedIn	<Neuerburg>	0	0
<Arthur_Jewitt>	diedIn	<Redwood_City,_California>	0	0
<Arthur_Loomis_Harmon>	diedIn	<Georgetown,_Ohio>	0	0
<Arthur_Loomis_Harmon>	diedIn	<Gurre_Castle>	0	0
<Arthur_Loomis_Harmon>	diedIn	<San_Jacinto,_California>	0	0
<Arthur_Loomis_Harmon>	diedIn	<White_Plains,_New_York>	0	1
<Arthur_Severn>	diedIn	<Clapham_Common>	0	0
<Arthur_Severn>	diedIn	<Earls_Court>	0	0
<Arthur_Severn>	diedIn	<Hurstville,_New_South_Wales>	0	0
<Arthur_Severn>	diedIn	<Stainforth,_South_Yorkshire>	0	1
